"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 07 10:29:42 GMT 2024","Wed Feb 07 10:29:48 GMT 2024","6178","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Wed Feb 07 10:29:42 GMT 2024","Wed Feb 07 10:29:45 GMT 2024","3566","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Wed Feb 07 10:29:42 GMT 2024","Wed Feb 07 10:29:45 GMT 2024","3547","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Wed Feb 07 10:29:42 GMT 2024","Wed Feb 07 10:29:45 GMT 2024","3578","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Wed Feb 07 10:29:42 GMT 2024","Wed Feb 07 10:29:48 GMT 2024","6667","","Login Functionality for OpenCart E-commerce Website","","Successful login with valid credentials","","Successful login with valid credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Wed Feb 07 10:29:42 GMT 2024","Wed Feb 07 10:29:48 GMT 2024","5842","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Wed Feb 07 10:29:42 GMT 2024","Wed Feb 07 10:29:45 GMT 2024","3153","","Account Page Feature","","Accounts page title","","Accounts page title",""
"passed","Wed Feb 07 10:29:42 GMT 2024","Wed Feb 07 10:29:48 GMT 2024","6156","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Wed Feb 07 10:29:42 GMT 2024","Wed Feb 07 10:29:45 GMT 2024","3241","","Account Page Feature","","Accounts section count","","Accounts section count",""
"passed","Wed Feb 07 10:29:42 GMT 2024","Wed Feb 07 10:29:48 GMT 2024","5952","","Login Functionality for OpenCart E-commerce Website","","Navigating to the forgotten password page","","Navigating to the forgotten password page","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
