"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 02 19:35:13 GMT 2024","Fri Feb 02 19:35:20 GMT 2024","6716","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 19:35:13 GMT 2024","Fri Feb 02 19:35:18 GMT 2024","4459","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Fri Feb 02 19:35:13 GMT 2024","Fri Feb 02 19:35:17 GMT 2024","4396","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Fri Feb 02 19:35:13 GMT 2024","Fri Feb 02 19:35:20 GMT 2024","6611","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 19:35:13 GMT 2024","Fri Feb 02 19:35:17 GMT 2024","4356","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Fri Feb 02 19:35:13 GMT 2024","Fri Feb 02 19:35:20 GMT 2024","6779","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 19:35:13 GMT 2024","Fri Feb 02 19:35:21 GMT 2024","7585","","Login Functionality for OpenCart E-commerce Website","","Successful login with valid credentials","","Successful login with valid credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 19:35:13 GMT 2024","Fri Feb 02 19:35:17 GMT 2024","3691","","Account Page Feature","","Accounts page title","","Accounts page title",""
"passed","Fri Feb 02 19:35:13 GMT 2024","Fri Feb 02 19:35:20 GMT 2024","6629","","Login Functionality for OpenCart E-commerce Website","","Navigating to the forgotten password page","","Navigating to the forgotten password page","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 19:35:13 GMT 2024","Fri Feb 02 19:35:17 GMT 2024","3796","","Account Page Feature","","Accounts section count","","Accounts section count",""
