"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 02 17:27:09 GMT 2024","Fri Feb 02 17:27:13 GMT 2024","3773","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 17:27:06 GMT 2024","Fri Feb 02 17:27:09 GMT 2024","3044","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 17:27:03 GMT 2024","Fri Feb 02 17:27:06 GMT 2024","2984","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 17:26:58 GMT 2024","Fri Feb 02 17:27:03 GMT 2024","4781","","Login Functionality for OpenCart E-commerce Website","","Successful login with valid credentials","","Successful login with valid credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 17:26:56 GMT 2024","Fri Feb 02 17:26:57 GMT 2024","916","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Fri Feb 02 17:27:13 GMT 2024","Fri Feb 02 17:27:16 GMT 2024","2907","","Login Functionality for OpenCart E-commerce Website","","Navigating to the forgotten password page","","Navigating to the forgotten password page","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 17:26:33 GMT 2024","Fri Feb 02 17:26:54 GMT 2024","20844","","Account Page Feature","","Accounts page title","","Accounts page title",""
"passed","Fri Feb 02 17:26:55 GMT 2024","Fri Feb 02 17:26:56 GMT 2024","1635","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Fri Feb 02 17:26:54 GMT 2024","Fri Feb 02 17:26:55 GMT 2024","492","","Account Page Feature","","Accounts section count","","Accounts section count",""
"passed","Fri Feb 02 17:26:57 GMT 2024","Fri Feb 02 17:26:58 GMT 2024","858","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
