"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 02 19:05:08 GMT 2024","Fri Feb 02 19:05:09 GMT 2024","1013","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Fri Feb 02 19:05:14 GMT 2024","Fri Feb 02 19:05:18 GMT 2024","3282","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 19:05:06 GMT 2024","Fri Feb 02 19:05:07 GMT 2024","1562","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Fri Feb 02 19:05:18 GMT 2024","Fri Feb 02 19:05:21 GMT 2024","3235","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 19:05:05 GMT 2024","Fri Feb 02 19:05:06 GMT 2024","574","","Account Page Feature","","Accounts section count","","Accounts section count",""
"passed","Fri Feb 02 19:04:53 GMT 2024","Fri Feb 02 19:05:05 GMT 2024","12200","","Account Page Feature","","Accounts page title","","Accounts page title",""
"passed","Fri Feb 02 19:05:24 GMT 2024","Fri Feb 02 19:05:27 GMT 2024","3001","","Login Functionality for OpenCart E-commerce Website","","Navigating to the forgotten password page","","Navigating to the forgotten password page","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 19:05:07 GMT 2024","Fri Feb 02 19:05:08 GMT 2024","1018","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Fri Feb 02 19:05:21 GMT 2024","Fri Feb 02 19:05:24 GMT 2024","3208","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 19:05:09 GMT 2024","Fri Feb 02 19:05:14 GMT 2024","5018","","Login Functionality for OpenCart E-commerce Website","","Successful login with valid credentials","","Successful login with valid credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
