"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 02 18:00:03 GMT 2024","Fri Feb 02 18:00:06 GMT 2024","3261","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 18:00:10 GMT 2024","Fri Feb 02 18:00:13 GMT 2024","3126","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 17:59:58 GMT 2024","Fri Feb 02 17:59:59 GMT 2024","1022","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Fri Feb 02 17:59:55 GMT 2024","Fri Feb 02 17:59:57 GMT 2024","1292","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Fri Feb 02 18:00:06 GMT 2024","Fri Feb 02 18:00:10 GMT 2024","3164","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 17:59:57 GMT 2024","Fri Feb 02 17:59:58 GMT 2024","985","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Fri Feb 02 17:59:55 GMT 2024","Fri Feb 02 17:59:55 GMT 2024","463","","Account Page Feature","","Accounts section count","","Accounts section count",""
"passed","Fri Feb 02 17:59:59 GMT 2024","Fri Feb 02 18:00:03 GMT 2024","4633","","Login Functionality for OpenCart E-commerce Website","","Successful login with valid credentials","","Successful login with valid credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 18:00:13 GMT 2024","Fri Feb 02 18:00:16 GMT 2024","2989","","Login Functionality for OpenCart E-commerce Website","","Navigating to the forgotten password page","","Navigating to the forgotten password page","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 17:59:44 GMT 2024","Fri Feb 02 17:59:55 GMT 2024","10587","","Account Page Feature","","Accounts page title","","Accounts page title",""
