"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 02 19:32:41 GMT 2024","Fri Feb 02 19:32:47 GMT 2024","5899","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 19:32:41 GMT 2024","Fri Feb 02 19:32:47 GMT 2024","6342","","Login Functionality for OpenCart E-commerce Website","","Successful login with valid credentials","","Successful login with valid credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 19:32:41 GMT 2024","Fri Feb 02 19:32:47 GMT 2024","5888","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 19:32:41 GMT 2024","Fri Feb 02 19:32:47 GMT 2024","5600","","Login Functionality for OpenCart E-commerce Website","","Navigating to the forgotten password page","","Navigating to the forgotten password page","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 19:32:41 GMT 2024","Fri Feb 02 19:32:44 GMT 2024","3056","","Account Page Feature","","Accounts section count","","Accounts section count",""
"passed","Fri Feb 02 19:32:41 GMT 2024","Fri Feb 02 19:32:47 GMT 2024","6178","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 19:32:41 GMT 2024","Fri Feb 02 19:32:45 GMT 2024","4161","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Fri Feb 02 19:32:41 GMT 2024","Fri Feb 02 19:32:44 GMT 2024","3132","","Account Page Feature","","Accounts page title","","Accounts page title",""
"passed","Fri Feb 02 19:32:41 GMT 2024","Fri Feb 02 19:32:45 GMT 2024","4191","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Fri Feb 02 19:32:41 GMT 2024","Fri Feb 02 19:32:45 GMT 2024","4166","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
